Date	Hours	FI
24-01-2014	09-10	60.07
24-01-2014	10-11	53.98
24-01-2014	11-12	46.23
24-01-2014	12-13	44.07
24-01-2014	13-14	45.57
24-01-2014	14-15	54.96
24-01-2014	15-16	60
24-01-2014	16-17	60.09
24-01-2014	17-18	61.09
24-01-2014	18-19	48.94
24-01-2014	19-20	44.06
24-01-2014	20-21	37.61
24-01-2014	21-22	35.09
24-01-2014	22-23	34.04
24-01-2014	23-00	32.51
25-01-2014	00-01	32.64
25-01-2014	01-02	32.05
25-01-2014	02-03	31.1
25-01-2014	03-04	30.67
25-01-2014	04-05	30.56
25-01-2014	05-06	31.07
25-01-2014	06-07	30.94
25-01-2014	07-08	33.79
25-01-2014	08-09	35.39
25-01-2014	09-10	36.01
25-01-2014	10-11	36.26
25-01-2014	11-12	34.56
25-01-2014	12-13	33.25
25-01-2014	13-14	33.06
25-01-2014	14-15	32.66
25-01-2014	15-16	36.94
25-01-2014	16-17	42.02
25-01-2014	17-18	42.84
25-01-2014	18-19	39.06
25-01-2014	19-20	36.07
25-01-2014	20-21	33.27
25-01-2014	21-22	35.09
25-01-2014	22-23	33.06
25-01-2014	23-00	31.48
26-01-2014	00-01	30.56
26-01-2014	01-02	29.87
26-01-2014	02-03	29.51
26-01-2014	03-04	29.69
26-01-2014	04-05	29.93
26-01-2014	05-06	30.6
26-01-2014	06-07	30.67
26-01-2014	07-08	30.8
26-01-2014	08-09	31.29
26-01-2014	09-10	32.02
26-01-2014	10-11	32.89
26-01-2014	11-12	33.07
26-01-2014	12-13	32.98
26-01-2014	13-14	32.11
26-01-2014	14-15	31.89
26-01-2014	15-16	32.17
26-01-2014	16-17	35.36
26-01-2014	17-18	36.93
26-01-2014	18-19	35.9
26-01-2014	19-20	33.6
26-01-2014	20-21	32.64
26-01-2014	21-22	33.94
26-01-2014	22-23	32.6
26-01-2014	23-00	30.66
27-01-2014	00-01	28.84
27-01-2014	01-02	28.7
27-01-2014	02-03	28.6
27-01-2014	03-04	28.7
27-01-2014	04-05	29.19
27-01-2014	05-06	41.55
27-01-2014	06-07	52.73
27-01-2014	07-08	60.03
27-01-2014	08-09	59.05
27-01-2014	09-10	59.01
27-01-2014	10-11	43.62
27-01-2014	11-12	36.98
27-01-2014	12-13	36.93
27-01-2014	13-14	39.94
27-01-2014	14-15	46.1
27-01-2014	15-16	53.9
27-01-2014	16-17	59.99
27-01-2014	17-18	59.03
27-01-2014	18-19	43.93
27-01-2014	19-20	36.95
27-01-2014	20-21	33.33
27-01-2014	21-22	33.97
27-01-2014	22-23	32.08
27-01-2014	23-00	30.94
28-01-2014	00-01	31.25
28-01-2014	01-02	31.04
28-01-2014	02-03	30.28
28-01-2014	03-04	29.57
28-01-2014	04-05	31.99
28-01-2014	05-06	41.08
28-01-2014	06-07	56.02
28-01-2014	07-08	57.01
28-01-2014	08-09	56.05
28-01-2014	09-10	56.03
28-01-2014	10-11	40.11
28-01-2014	11-12	38.97
28-01-2014	12-13	38.43
28-01-2014	13-14	38.36
28-01-2014	14-15	43.7
28-01-2014	15-16	56.02
28-01-2014	16-17	58.05
28-01-2014	17-18	57
28-01-2014	18-19	46.72
28-01-2014	19-20	41.1
28-01-2014	20-21	37.13
28-01-2014	21-22	33.62
28-01-2014	22-23	32.3
28-01-2014	23-00	31.29
29-01-2014	00-01	31.09
29-01-2014	01-02	30.54
29-01-2014	02-03	29.63
29-01-2014	03-04	28.98
29-01-2014	04-05	34.58
29-01-2014	05-06	45.46
29-01-2014	06-07	55.05
29-01-2014	07-08	56.05
29-01-2014	08-09	55.09
29-01-2014	09-10	55.07
29-01-2014	10-11	45.39
29-01-2014	11-12	45.35
29-01-2014	12-13	45.35
29-01-2014	13-14	40.21
29-01-2014	14-15	49.22
29-01-2014	15-16	55.04
29-01-2014	16-17	59.91
29-01-2014	17-18	55.61
29-01-2014	18-19	46.97
29-01-2014	19-20	41.93
29-01-2014	20-21	38.26
29-01-2014	21-22	36.39
29-01-2014	22-23	33.02
29-01-2014	23-00	31.47
30-01-2014	00-01	31.11
30-01-2014	01-02	30.49
30-01-2014	02-03	29.82
30-01-2014	03-04	29.92
30-01-2014	04-05	36.46
30-01-2014	05-06	44.85
30-01-2014	06-07	55.09
30-01-2014	07-08	56.08
30-01-2014	08-09	56.04
30-01-2014	09-10	56.01
30-01-2014	10-11	45.51
30-01-2014	11-12	45.45
30-01-2014	12-13	45.37
30-01-2014	13-14	40.96
30-01-2014	14-15	49.63
30-01-2014	15-16	55.09
30-01-2014	16-17	58.06
30-01-2014	17-18	56.03
30-01-2014	18-19	48.75
30-01-2014	19-20	41.18
30-01-2014	20-21	37.37
30-01-2014	21-22	36.16
30-01-2014	22-23	33.08
30-01-2014	23-00	32.53
31-01-2014	00-01	32.24
31-01-2014	01-02	31.63
31-01-2014	02-03	31.11
31-01-2014	03-04	32.35
31-01-2014	04-05	37.98
31-01-2014	05-06	46.98
31-01-2014	06-07	55.04
31-01-2014	07-08	56.29
31-01-2014	08-09	55.45
31-01-2014	09-10	55.07
31-01-2014	10-11	46.91
31-01-2014	11-12	47.59
31-01-2014	12-13	46.69
31-01-2014	13-14	44.01
31-01-2014	14-15	50.55
31-01-2014	15-16	54.42
31-01-2014	16-17	56.07
31-01-2014	17-18	55.08
31-01-2014	18-19	49.47
31-01-2014	19-20	41.44
31-01-2014	20-21	38.35
31-01-2014	21-22	37.32
31-01-2014	22-23	35.65
31-01-2014	23-00	33.07
01-02-2014	00-01	33.5
01-02-2014	01-02	32
01-02-2014	02-03	30.81
01-02-2014	03-04	31.06
01-02-2014	04-05	31.69
01-02-2014	05-06	33.3
01-02-2014	06-07	33.08
01-02-2014	07-08	35.01
01-02-2014	08-09	37.94
01-02-2014	09-10	37.6
01-02-2014	10-11	37.41
01-02-2014	11-12	34.5
01-02-2014	12-13	34.77
01-02-2014	13-14	34.1
01-02-2014	14-15	34.82
01-02-2014	15-16	36.93
01-02-2014	16-17	45.79
