Date	Hours	FI
01-07-2014	06-07	55.53
01-07-2014	07-08	62.19
01-07-2014	08-09	59.92
01-07-2014	09-10	61.08
01-07-2014	10-11	63.66
01-07-2014	11-12	65.07
01-07-2014	12-13	61.46
01-07-2014	13-14	55.51
01-07-2014	14-15	44.26
01-07-2014	15-16	37.79
01-07-2014	16-17	39.25
01-07-2014	17-18	40.32
01-07-2014	18-19	42.53
01-07-2014	19-20	40.23
01-07-2014	20-21	37.23
01-07-2014	21-22	37.07
01-07-2014	22-23	37
01-07-2014	23-00	32.85
02-07-2014	00-01	28.61
02-07-2014	01-02	27.46
02-07-2014	02-03	26.07
02-07-2014	03-04	25.15
02-07-2014	04-05	25.81
02-07-2014	05-06	28.39
02-07-2014	06-07	35.05
02-07-2014	07-08	37.27
02-07-2014	08-09	41.19
02-07-2014	09-10	43.72
02-07-2014	10-11	40.7
02-07-2014	11-12	44.01
02-07-2014	12-13	42.05
02-07-2014	13-14	40.58
02-07-2014	14-15	41.3
02-07-2014	15-16	42.1
02-07-2014	16-17	40.44
02-07-2014	17-18	37.25
02-07-2014	18-19	37.27
02-07-2014	19-20	37.86
02-07-2014	20-21	36.66
02-07-2014	21-22	37.23
02-07-2014	22-23	37.23
02-07-2014	23-00	33.1
03-07-2014	00-01	28.82
03-07-2014	01-02	26.13
03-07-2014	02-03	25.59
03-07-2014	03-04	24.83
03-07-2014	04-05	24.7
03-07-2014	05-06	31.4
03-07-2014	06-07	36.34
03-07-2014	07-08	37.27
03-07-2014	08-09	40
03-07-2014	09-10	40.13
03-07-2014	10-11	39.64
03-07-2014	11-12	40.2
03-07-2014	12-13	40.02
03-07-2014	13-14	38.59
03-07-2014	14-15	37.27
03-07-2014	15-16	37.21
03-07-2014	16-17	36.94
03-07-2014	17-18	36.68
03-07-2014	18-19	36.66
03-07-2014	19-20	36.78
03-07-2014	20-21	34.99
03-07-2014	21-22	36.63
03-07-2014	22-23	34.07
03-07-2014	23-00	28.36
04-07-2014	00-01	27.85
04-07-2014	01-02	26.23
04-07-2014	02-03	25.69
04-07-2014	03-04	25.06
04-07-2014	04-05	24.99
04-07-2014	05-06	30.1
04-07-2014	06-07	35.97
04-07-2014	07-08	38.69
04-07-2014	08-09	40.66
04-07-2014	09-10	42.82
04-07-2014	10-11	43.68
04-07-2014	11-12	42.52
04-07-2014	12-13	42.22
04-07-2014	13-14	39.75
04-07-2014	14-15	38.23
04-07-2014	15-16	39.01
04-07-2014	16-17	37.87
04-07-2014	17-18	37.3
04-07-2014	18-19	37.49
04-07-2014	19-20	38.35
04-07-2014	20-21	36.81
04-07-2014	21-22	37.08
04-07-2014	22-23	37.26
04-07-2014	23-00	29.96
05-07-2014	00-01	35.69
05-07-2014	01-02	29.5
05-07-2014	02-03	27.05
05-07-2014	03-04	26.08
05-07-2014	04-05	25.36
05-07-2014	05-06	27.07
05-07-2014	06-07	36.69
05-07-2014	07-08	45.05
05-07-2014	08-09	45.57
05-07-2014	09-10	43.72
05-07-2014	10-11	42.57
05-07-2014	11-12	40.48
05-07-2014	12-13	37.77
05-07-2014	13-14	36.53
05-07-2014	14-15	37.25
05-07-2014	15-16	40.04
05-07-2014	16-17	41.69
05-07-2014	17-18	41.92
05-07-2014	18-19	42.67
05-07-2014	19-20	44.06
05-07-2014	20-21	39.7
05-07-2014	21-22	41.14
05-07-2014	22-23	39.81
05-07-2014	23-00	37.99
06-07-2014	00-01	25.68
06-07-2014	01-02	24.11
06-07-2014	02-03	23.55
06-07-2014	03-04	22.6
06-07-2014	04-05	22.02
06-07-2014	05-06	20.03
06-07-2014	06-07	20.08
06-07-2014	07-08	22.79
06-07-2014	08-09	23.88
06-07-2014	09-10	26.2
06-07-2014	10-11	26.45
06-07-2014	11-12	26.53
06-07-2014	12-13	25.81
06-07-2014	13-14	25.16
06-07-2014	14-15	30.29
06-07-2014	15-16	31.96
06-07-2014	16-17	33.02
06-07-2014	17-18	31.92
06-07-2014	18-19	29.38
06-07-2014	19-20	30.58
06-07-2014	20-21	30.29
06-07-2014	21-22	31.25
06-07-2014	22-23	32.91
06-07-2014	23-00	27.65
07-07-2014	00-01	25.82
07-07-2014	01-02	24.43
07-07-2014	02-03	24.23
07-07-2014	03-04	24.38
07-07-2014	04-05	24.14
07-07-2014	05-06	26.02
07-07-2014	06-07	38.33
07-07-2014	07-08	43.95
07-07-2014	08-09	42.26
07-07-2014	09-10	42.53
07-07-2014	10-11	43.92
07-07-2014	11-12	43.58
07-07-2014	12-13	43.6
07-07-2014	13-14	41.66
07-07-2014	14-15	40.88
07-07-2014	15-16	39.81
07-07-2014	16-17	40.41
07-07-2014	17-18	38.61
07-07-2014	18-19	38.58
07-07-2014	19-20	39.15
07-07-2014	20-21	37.24
07-07-2014	21-22	38.44
07-07-2014	22-23	37.26
07-07-2014	23-00	28.93
08-07-2014	00-01	28.07
08-07-2014	01-02	26.53
08-07-2014	02-03	25.35
08-07-2014	03-04	24.96
08-07-2014	04-05	24.81
08-07-2014	05-06	31.05
08-07-2014	06-07	40.99
08-07-2014	07-08	42.97
08-07-2014	08-09	42.98
08-07-2014	09-10	46.41
08-07-2014	10-11	45.92
08-07-2014	11-12	46.13
08-07-2014	12-13	44.53
08-07-2014	13-14	43.76
08-07-2014	14-15	41.84
08-07-2014	15-16	41.87
08-07-2014	16-17	42.22
08-07-2014	17-18	41.58
08-07-2014	18-19	42.46
08-07-2014	19-20	41.87
08-07-2014	20-21	38
08-07-2014	21-22	39.33
08-07-2014	22-23	37.29
08-07-2014	23-00	28.99
09-07-2014	00-01	24.62
09-07-2014	01-02	23.69
09-07-2014	02-03	22.04
09-07-2014	03-04	20.92
09-07-2014	04-05	21.7
09-07-2014	05-06	25.08
09-07-2014	06-07	38.1
09-07-2014	07-08	42.77
09-07-2014	08-09	41.16
09-07-2014	09-10	44.01
09-07-2014	10-11	44.6
09-07-2014	11-12	44.56
09-07-2014	12-13	43.62
09-07-2014	13-14	42.06
09-07-2014	14-15	40.44
09-07-2014	15-16	39.95
09-07-2014	16-17	38.93
09-07-2014	17-18	38.77
09-07-2014	18-19	40.07
09-07-2014	19-20	39.95
09-07-2014	20-21	37.09
09-07-2014	21-22	37.23
09-07-2014	22-23	35.78
09-07-2014	23-00	25.78
10-07-2014	00-01	25.07
10-07-2014	01-02	21.85
10-07-2014	02-03	21.04
10-07-2014	03-04	21.37
10-07-2014	04-05	22.95
10-07-2014	05-06	25.56
10-07-2014	06-07	34.57
10-07-2014	07-08	37.26
10-07-2014	08-09	37.73
10-07-2014	09-10	39.6
10-07-2014	10-11	39.94
10-07-2014	11-12	39.93
10-07-2014	12-13	39.67
10-07-2014	13-14	38.54
10-07-2014	14-15	39.65
10-07-2014	15-16	37.47
10-07-2014	16-17	37.48
10-07-2014	17-18	37.25
10-07-2014	18-19	37.27
10-07-2014	19-20	37.43
10-07-2014	20-21	37.21
10-07-2014	21-22	36.85
10-07-2014	22-23	36.83
10-07-2014	23-00	28.49
11-07-2014	00-01	25.95
11-07-2014	01-02	25
11-07-2014	02-03	23.84
11-07-2014	03-04	23.24
11-07-2014	04-05	23.59
11-07-2014	05-06	32
11-07-2014	06-07	37.96
11-07-2014	07-08	41.89
11-07-2014	08-09	42.1
11-07-2014	09-10	42.04
11-07-2014	10-11	41.8
11-07-2014	11-12	41.34
11-07-2014	12-13	40.32
11-07-2014	13-14	39.74
11-07-2014	14-15	40.33
11-07-2014	15-16	40.91
11-07-2014	16-17	39.9
11-07-2014	17-18	38.77
11-07-2014	18-19	37.85
11-07-2014	19-20	37.28
11-07-2014	20-21	37.05
11-07-2014	21-22	37.24
11-07-2014	22-23	37.21
11-07-2014	23-00	29.88
12-07-2014	00-01	29.4
12-07-2014	01-02	26.5
12-07-2014	02-03	25.1
12-07-2014	03-04	25.07
12-07-2014	04-05	24.88
12-07-2014	05-06	24.58
12-07-2014	06-07	25.1
12-07-2014	07-08	34.96
12-07-2014	08-09	41.31
12-07-2014	09-10	44.01
12-07-2014	10-11	41.11
12-07-2014	11-12	40.13
12-07-2014	12-13	37.97
12-07-2014	13-14	35.26
12-07-2014	14-15	35.2
12-07-2014	15-16	35.24
12-07-2014	16-17	35.23
12-07-2014	17-18	35.22
12-07-2014	18-19	35.25
12-07-2014	19-20	35.26
12-07-2014	20-21	35.2
12-07-2014	21-22	35.22
12-07-2014	22-23	35.28
12-07-2014	23-00	30.49
13-07-2014	00-01	27.56
13-07-2014	01-02	25.22
13-07-2014	02-03	24.02
13-07-2014	03-04	22.69
13-07-2014	04-05	21.04
13-07-2014	05-06	19.61
13-07-2014	06-07	18.09
13-07-2014	07-08	19.99
13-07-2014	08-09	23.66
13-07-2014	09-10	32.87
13-07-2014	10-11	34.99
13-07-2014	11-12	35.22
13-07-2014	12-13	32.84
13-07-2014	13-14	31.26
13-07-2014	14-15	32.34
13-07-2014	15-16	32.56
13-07-2014	16-17	32.8
13-07-2014	17-18	32.8
13-07-2014	18-19	31.49
13-07-2014	19-20	35.28
13-07-2014	20-21	35.24
13-07-2014	21-22	35.26
13-07-2014	22-23	34.1
13-07-2014	23-00	27.01
14-07-2014	00-01	25.22
14-07-2014	01-02	23.05
14-07-2014	02-03	20.96
14-07-2014	03-04	19.74
14-07-2014	04-05	18.37
14-07-2014	05-06	28.32
14-07-2014	06-07	37.28
14-07-2014	07-08	44.62
14-07-2014	08-09	47.3
14-07-2014	09-10	47.91
14-07-2014	10-11	46.75
14-07-2014	11-12	46.1
14-07-2014	12-13	44.98
14-07-2014	13-14	45.53
14-07-2014	14-15	44.4
14-07-2014	15-16	42.36
14-07-2014	16-17	40.36
14-07-2014	17-18	39.2
14-07-2014	18-19	39.42
14-07-2014	19-20	39.25
14-07-2014	20-21	37.22
14-07-2014	21-22	37.28
14-07-2014	22-23	36.58
14-07-2014	23-00	29.66
15-07-2014	00-01	28.21
15-07-2014	01-02	26.1
15-07-2014	02-03	25.22
15-07-2014	03-04	25.07
15-07-2014	04-05	25.23
15-07-2014	05-06	32.06
15-07-2014	06-07	37.24
15-07-2014	07-08	44.43
15-07-2014	08-09	44.5
15-07-2014	09-10	45.49
15-07-2014	10-11	45.36
15-07-2014	11-12	45.44
15-07-2014	12-13	45.29
15-07-2014	13-14	44.35
15-07-2014	14-15	43.47
15-07-2014	15-16	44.22
15-07-2014	16-17	43.1
15-07-2014	17-18	42
15-07-2014	18-19	42.05
15-07-2014	19-20	42.22
15-07-2014	20-21	37.29
15-07-2014	21-22	40.73
15-07-2014	22-23	39.97
15-07-2014	23-00	32.87
16-07-2014	00-01	28.6
16-07-2014	01-02	26.61
16-07-2014	02-03	25.93
16-07-2014	03-04	25.64
16-07-2014	04-05	25.52
16-07-2014	05-06	26.31
16-07-2014	06-07	36.48
16-07-2014	07-08	42.18
16-07-2014	08-09	45.49
16-07-2014	09-10	46.07
16-07-2014	10-11	45.88
16-07-2014	11-12	46.77
16-07-2014	12-13	46.72
16-07-2014	13-14	45.96
16-07-2014	14-15	44.72
16-07-2014	15-16	43.58
16-07-2014	16-17	42.65
16-07-2014	17-18	41.27
16-07-2014	18-19	41.15
16-07-2014	19-20	41.21
16-07-2014	20-21	37.92
16-07-2014	21-22	39.66
16-07-2014	22-23	37.26
16-07-2014	23-00	33.42
17-07-2014	00-01	30.03
17-07-2014	01-02	27.88
17-07-2014	02-03	27.33
17-07-2014	03-04	26.52
17-07-2014	04-05	26.5
17-07-2014	05-06	31.07
17-07-2014	06-07	37.06
17-07-2014	07-08	44.1
17-07-2014	08-09	45.35
17-07-2014	09-10	44.95
17-07-2014	10-11	46.18
17-07-2014	11-12	46.76
17-07-2014	12-13	47.06
17-07-2014	13-14	47.18
17-07-2014	14-15	45.92
17-07-2014	15-16	44.21
17-07-2014	16-17	45.26
17-07-2014	17-18	44.75
17-07-2014	18-19	44.77
17-07-2014	19-20	44.85
17-07-2014	20-21	40.35
17-07-2014	21-22	42
17-07-2014	22-23	38.72
17-07-2014	23-00	33.43
18-07-2014	00-01	30.35
18-07-2014	01-02	28.73
18-07-2014	02-03	27.72
18-07-2014	03-04	26.88
18-07-2014	04-05	27.03
18-07-2014	05-06	35.26
18-07-2014	06-07	43.9
18-07-2014	07-08	45.95
18-07-2014	08-09	47.13
18-07-2014	09-10	50.04
18-07-2014	10-11	50.05
18-07-2014	11-12	51.29
18-07-2014	12-13	49.25
18-07-2014	13-14	47.07
18-07-2014	14-15	46.82
18-07-2014	15-16	46.46
18-07-2014	16-17	45.83
18-07-2014	17-18	43.69
18-07-2014	18-19	42.93
18-07-2014	19-20	42.02
18-07-2014	20-21	37.91
18-07-2014	21-22	39.46
18-07-2014	22-23	36.82
18-07-2014	23-00	32.09
19-07-2014	00-01	32.1
19-07-2014	01-02	28.56
19-07-2014	02-03	27.04
19-07-2014	03-04	26.78
19-07-2014	04-05	26.65
19-07-2014	05-06	26.24
19-07-2014	06-07	28.96
19-07-2014	07-08	37.22
19-07-2014	08-09	37.24
19-07-2014	09-10	37.28
19-07-2014	10-11	39.73
19-07-2014	11-12	39.28
19-07-2014	12-13	37.28
19-07-2014	13-14	37.23
19-07-2014	14-15	37.23
19-07-2014	15-16	37.25
19-07-2014	16-17	37.26
19-07-2014	17-18	37.27
19-07-2014	18-19	37.27
19-07-2014	19-20	37.23
19-07-2014	20-21	36.87
19-07-2014	21-22	38.92
19-07-2014	22-23	40.32
19-07-2014	23-00	35.27
20-07-2014	00-01	25.49
20-07-2014	01-02	23.69
20-07-2014	02-03	21.29
20-07-2014	03-04	20.3
20-07-2014	04-05	18.42
20-07-2014	05-06	15.67
20-07-2014	06-07	16.76
20-07-2014	07-08	35.24
20-07-2014	08-09	35.23
20-07-2014	09-10	36.82
20-07-2014	10-11	37.3
20-07-2014	11-12	43.75
20-07-2014	12-13	41.82
20-07-2014	13-14	41.22
20-07-2014	14-15	41.85
20-07-2014	15-16	43.91
20-07-2014	16-17	43.03
20-07-2014	17-18	40.37
20-07-2014	18-19	42.45
20-07-2014	19-20	40.38
20-07-2014	20-21	39.24
20-07-2014	21-22	44.72
20-07-2014	22-23	44.39
20-07-2014	23-00	36.07
21-07-2014	00-01	34.07
21-07-2014	01-02	25.06
21-07-2014	02-03	22.81
21-07-2014	03-04	22.99
21-07-2014	04-05	25.07
21-07-2014	05-06	37.25
21-07-2014	06-07	39.27
21-07-2014	07-08	45.73
21-07-2014	08-09	47.02
21-07-2014	09-10	47.26
21-07-2014	10-11	47.59
21-07-2014	11-12	47.6
21-07-2014	12-13	47.58
21-07-2014	13-14	47.2
21-07-2014	14-15	47.04
21-07-2014	15-16	46.19
21-07-2014	16-17	42.36
21-07-2014	17-18	38.91
21-07-2014	18-19	37.28
21-07-2014	19-20	37.28
21-07-2014	20-21	35.3
21-07-2014	21-22	40.58
21-07-2014	22-23	37.25
21-07-2014	23-00	26.77
22-07-2014	00-01	28
22-07-2014	01-02	26.17
22-07-2014	02-03	25.79
22-07-2014	03-04	25.09
22-07-2014	04-05	26.06
22-07-2014	05-06	34
22-07-2014	06-07	36.63
22-07-2014	07-08	38.19
22-07-2014	08-09	39.43
22-07-2014	09-10	43.06
22-07-2014	10-11	44.54
22-07-2014	11-12	44.79
22-07-2014	12-13	45.46
22-07-2014	13-14	45.74
22-07-2014	14-15	46.08
22-07-2014	15-16	45.12
22-07-2014	16-17	42.05
22-07-2014	17-18	42.53
22-07-2014	18-19	43.58
22-07-2014	19-20	40.56
22-07-2014	20-21	38.13
22-07-2014	21-22	38.14
22-07-2014	22-23	37.24
22-07-2014	23-00	33.46
23-07-2014	00-01	32.82
23-07-2014	01-02	26.28
23-07-2014	02-03	25.81
23-07-2014	03-04	25.32
23-07-2014	04-05	25.94
23-07-2014	05-06	33.07
23-07-2014	06-07	38.19
23-07-2014	07-08	46.87
23-07-2014	08-09	47.54
23-07-2014	09-10	47.47
23-07-2014	10-11	48.04
23-07-2014	11-12	48.22
23-07-2014	12-13	47.85
23-07-2014	13-14	47.18
23-07-2014	14-15	46.96
23-07-2014	15-16	46.37
23-07-2014	16-17	46.84
23-07-2014	17-18	45.97
23-07-2014	18-19	44.36
23-07-2014	19-20	44.97
23-07-2014	20-21	37.28
23-07-2014	21-22	37.29
23-07-2014	22-23	38.12
23-07-2014	23-00	33.06
24-07-2014	00-01	28.24
24-07-2014	01-02	26.64
24-07-2014	02-03	25.79
24-07-2014	03-04	25.05
24-07-2014	04-05	25.62
24-07-2014	05-06	33.09
24-07-2014	06-07	39.65
24-07-2014	07-08	46.54
24-07-2014	08-09	47.17
24-07-2014	09-10	48.83
24-07-2014	10-11	48.85
24-07-2014	11-12	48.72
24-07-2014	12-13	48.67
24-07-2014	13-14	47.83
24-07-2014	14-15	47.78
24-07-2014	15-16	47.72
24-07-2014	16-17	47.25
24-07-2014	17-18	43.16
24-07-2014	18-19	46.59
24-07-2014	19-20	46.48
24-07-2014	20-21	38.19
24-07-2014	21-22	45.75
24-07-2014	22-23	38.18
24-07-2014	23-00	33.07
25-07-2014	00-01	33.04
25-07-2014	01-02	26.9
25-07-2014	02-03	26.09
25-07-2014	03-04	26.02
25-07-2014	04-05	26.04
25-07-2014	05-06	35.29
25-07-2014	06-07	47.15
25-07-2014	07-08	47.29
25-07-2014	08-09	48.96
25-07-2014	09-10	51.41
25-07-2014	10-11	51.39
25-07-2014	11-12	51.16
25-07-2014	12-13	50.84
25-07-2014	13-14	50.12
25-07-2014	14-15	50.15
25-07-2014	15-16	49.77
25-07-2014	16-17	49
25-07-2014	17-18	48.08
25-07-2014	18-19	47.24
25-07-2014	19-20	47.22
25-07-2014	20-21	44.04
25-07-2014	21-22	46.41
25-07-2014	22-23	40.48
25-07-2014	23-00	35.24
26-07-2014	00-01	36.63
26-07-2014	01-02	29.26
26-07-2014	02-03	28.7
26-07-2014	03-04	27.98
26-07-2014	04-05	27.99
26-07-2014	05-06	27.67
26-07-2014	06-07	29.83
26-07-2014	07-08	37.22
26-07-2014	08-09	37.24
26-07-2014	09-10	42.7
26-07-2014	10-11	43.87
26-07-2014	11-12	42.05
26-07-2014	12-13	40.47
26-07-2014	13-14	40.61
26-07-2014	14-15	42.89
26-07-2014	15-16	43.86
26-07-2014	16-17	43.5
26-07-2014	17-18	42
26-07-2014	18-19	42.76
26-07-2014	19-20	43.05
26-07-2014	20-21	37.56
26-07-2014	21-22	45.66
26-07-2014	22-23	40.46
26-07-2014	23-00	36.62
27-07-2014	00-01	30.62
27-07-2014	01-02	29.23
27-07-2014	02-03	28.56
27-07-2014	03-04	27.95
27-07-2014	04-05	27.12
27-07-2014	05-06	26.83
27-07-2014	06-07	26.91
27-07-2014	07-08	29.34
27-07-2014	08-09	35.64
27-07-2014	09-10	37.28
27-07-2014	10-11	38.14
27-07-2014	11-12	38.11
27-07-2014	12-13	37.38
27-07-2014	13-14	37.26
27-07-2014	14-15	37.25
27-07-2014	15-16	37.26
27-07-2014	16-17	37.25
27-07-2014	17-18	37.23
27-07-2014	18-19	37.26
27-07-2014	19-20	37.27
27-07-2014	20-21	37.24
27-07-2014	21-22	37.29
27-07-2014	22-23	37.28
27-07-2014	23-00	33.91
28-07-2014	00-01	29.69
28-07-2014	01-02	28.49
28-07-2014	02-03	27.93
28-07-2014	03-04	27.67
28-07-2014	04-05	27.84
28-07-2014	05-06	29.56
28-07-2014	06-07	37.24
28-07-2014	07-08	38.17
28-07-2014	08-09	40.49
28-07-2014	09-10	44.78
28-07-2014	10-11	47.14
28-07-2014	11-12	46.02
28-07-2014	12-13	47.09
28-07-2014	13-14	45.76
28-07-2014	14-15	43.15
28-07-2014	15-16	40.46
28-07-2014	16-17	40.43
28-07-2014	17-18	37.26
28-07-2014	18-19	38.1
28-07-2014	19-20	38.11
28-07-2014	20-21	36.41
28-07-2014	21-22	36.62
28-07-2014	22-23	36.61
28-07-2014	23-00	30.36
29-07-2014	00-01	29.73
29-07-2014	01-02	28.58
29-07-2014	02-03	28.23
29-07-2014	03-04	27.82
29-07-2014	04-05	27.74
29-07-2014	05-06	28.82
29-07-2014	06-07	36.68
29-07-2014	07-08	38.15
29-07-2014	08-09	43.58
29-07-2014	09-10	42.44
29-07-2014	10-11	42.59
29-07-2014	11-12	43.25
29-07-2014	12-13	40.92
29-07-2014	13-14	38.18
29-07-2014	14-15	38.1
29-07-2014	15-16	38.13
29-07-2014	16-17	37.2
29-07-2014	17-18	36.68
29-07-2014	18-19	35.62
29-07-2014	19-20	35.26
29-07-2014	20-21	34.24
29-07-2014	21-22	34.16
29-07-2014	22-23	35.22
29-07-2014	23-00	30.6
30-07-2014	00-01	29.98
30-07-2014	01-02	29.14
30-07-2014	02-03	28.6
30-07-2014	03-04	28.22
30-07-2014	04-05	28.19
30-07-2014	05-06	34.52
30-07-2014	06-07	41.63
30-07-2014	07-08	43.14
30-07-2014	08-09	44.49
30-07-2014	09-10	46.12
30-07-2014	10-11	46.74
30-07-2014	11-12	47.39
30-07-2014	12-13	46.8
30-07-2014	13-14	44.48
30-07-2014	14-15	41.8
30-07-2014	15-16	42.88
30-07-2014	16-17	42.07
30-07-2014	17-18	39.18
30-07-2014	18-19	39.17
30-07-2014	19-20	39.12
30-07-2014	20-21	36.29
30-07-2014	21-22	37.69
30-07-2014	22-23	37.63
30-07-2014	23-00	29.82
31-07-2014	00-01	28.82
31-07-2014	01-02	27.91
31-07-2014	02-03	27.19
31-07-2014	03-04	26.59
31-07-2014	04-05	26.7
31-07-2014	05-06	28.74
31-07-2014	06-07	37.65
31-07-2014	07-08	42.42
31-07-2014	08-09	43.73
31-07-2014	09-10	42.39
31-07-2014	10-11	45.22
31-07-2014	11-12	50.53
31-07-2014	12-13	49.98
31-07-2014	13-14	48.84
31-07-2014	14-15	46.92
31-07-2014	15-16	40.24
31-07-2014	16-17	44.63
31-07-2014	17-18	43.45
31-07-2014	18-19	41.18
31-07-2014	19-20	40.83
31-07-2014	20-21	37.68
31-07-2014	21-22	40.49
31-07-2014	22-23	36.23
31-07-2014	23-00	31.24
01-08-2014	00-01	29.36
01-08-2014	01-02	28.52
01-08-2014	02-03	28.02
01-08-2014	03-04	27.58
01-08-2014	04-05	27.82
01-08-2014	05-06	30.18
01-08-2014	06-07	44.59
01-08-2014	07-08	53.54
01-08-2014	08-09	67.94
01-08-2014	09-10	69.26
01-08-2014	10-11	71.81
01-08-2014	11-12	65.71
01-08-2014	12-13	60.75
01-08-2014	13-14	60.03
01-08-2014	14-15	44.39
01-08-2014	15-16	40.09
01-08-2014	16-17	38.09
01-08-2014	17-18	38.14
01-08-2014	18-19	37.56
01-08-2014	19-20	37.59
01-08-2014	20-21	36.06
01-08-2014	21-22	37.52
01-08-2014	22-23	37.51
01-08-2014	23-00	30.59
02-08-2014	00-01	29.52
02-08-2014	01-02	28.92
02-08-2014	02-03	28.26
02-08-2014	03-04	27.98
02-08-2014	04-05	27.08
02-08-2014	05-06	27.37
02-08-2014	06-07	36
02-08-2014	07-08	39.96
02-08-2014	08-09	44.71
02-08-2014	09-10	47.2
02-08-2014	10-11	44.8
02-08-2014	11-12	44.93
02-08-2014	12-13	44.32
02-08-2014	13-14	41.08
02-08-2014	14-15	44.53
02-08-2014	15-16	44.91
02-08-2014	16-17	39.94
02-08-2014	17-18	38.47
02-08-2014	18-19	37.89
02-08-2014	19-20	40.6
02-08-2014	20-21	37.56
02-08-2014	21-22	39.9
02-08-2014	22-23	38.54
02-08-2014	23-00	33.57
03-08-2014	00-01	32.63
03-08-2014	01-02	28.48
03-08-2014	02-03	28.09
03-08-2014	03-04	27.71
03-08-2014	04-05	27.02
03-08-2014	05-06	30.05
03-08-2014	06-07	30.66
03-08-2014	07-08	36.02
03-08-2014	08-09	38.01
03-08-2014	09-10	39.29
03-08-2014	10-11	37.58
03-08-2014	11-12	41.46
03-08-2014	12-13	38.06
03-08-2014	13-14	39.46
03-08-2014	14-15	39.58
03-08-2014	15-16	42.17
03-08-2014	16-17	39.71
03-08-2014	17-18	37.85
03-08-2014	18-19	37.59
03-08-2014	19-20	40.02
03-08-2014	20-21	37.56
03-08-2014	21-22	42.87
03-08-2014	22-23	40.06
03-08-2014	23-00	36.08
04-08-2014	00-01	29.39
04-08-2014	01-02	29.13
04-08-2014	02-03	28.92
04-08-2014	03-04	28.74
04-08-2014	04-05	28.9
04-08-2014	05-06	30.07
04-08-2014	06-07	37.54
04-08-2014	07-08	43.19
04-08-2014	08-09	60
04-08-2014	09-10	62.04
04-08-2014	10-11	59.54
04-08-2014	11-12	59.91
04-08-2014	12-13	57.35
04-08-2014	13-14	51.9
04-08-2014	14-15	39.91
04-08-2014	15-16	39.51
04-08-2014	16-17	39.96
04-08-2014	17-18	41.35
04-08-2014	18-19	42.24
04-08-2014	19-20	38.3
04-08-2014	20-21	37.55
04-08-2014	21-22	37.05
04-08-2014	22-23	36.07
04-08-2014	23-00	32.73
05-08-2014	00-01	31.58
05-08-2014	01-02	30.7
05-08-2014	02-03	30.1
05-08-2014	03-04	29.65
05-08-2014	04-05	29.61
05-08-2014	05-06	32.56
05-08-2014	06-07	37.58
05-08-2014	07-08	42.01
05-08-2014	08-09	41.04
05-08-2014	09-10	51.8
05-08-2014	10-11	54.31
05-08-2014	11-12	58.42
05-08-2014	12-13	68.56
05-08-2014	13-14	72.63
05-08-2014	14-15	51.82
05-08-2014	15-16	49.01
05-08-2014	16-17	47.34
05-08-2014	17-18	42.24
05-08-2014	18-19	41.7
05-08-2014	19-20	39.93
05-08-2014	20-21	38.99
05-08-2014	21-22	39.06
05-08-2014	22-23	37.59
05-08-2014	23-00	34.81
06-08-2014	00-01	32.4
06-08-2014	01-02	31.54
06-08-2014	02-03	31.1
06-08-2014	03-04	30.88
06-08-2014	04-05	30.89
06-08-2014	05-06	37.59
06-08-2014	06-07	46.69
06-08-2014	07-08	49.57
06-08-2014	08-09	55.52
06-08-2014	09-10	53.19
06-08-2014	10-11	61.05
06-08-2014	11-12	61.02
06-08-2014	12-13	58.68
06-08-2014	13-14	54.68
06-08-2014	14-15	52.51
06-08-2014	15-16	50.75
06-08-2014	16-17	48.12
06-08-2014	17-18	47.34
06-08-2014	18-19	45.12
06-08-2014	19-20	40.46
06-08-2014	20-21	39.08
06-08-2014	21-22	39.01
06-08-2014	22-23	38.16
06-08-2014	23-00	36.36
07-08-2014	00-01	32.17
07-08-2014	01-02	31.41
07-08-2014	02-03	30.76
07-08-2014	03-04	30.68
07-08-2014	04-05	30.84
07-08-2014	05-06	37.55
07-08-2014	06-07	48.9
07-08-2014	07-08	48.11
07-08-2014	08-09	52.17
07-08-2014	09-10	53.44
07-08-2014	10-11	53.19
07-08-2014	11-12	53.48
07-08-2014	12-13	53.26
07-08-2014	13-14	53.13
07-08-2014	14-15	47.04
07-08-2014	15-16	46.99
07-08-2014	16-17	46.51
07-08-2014	17-18	47.94
07-08-2014	18-19	46.45
07-08-2014	19-20	44.14
07-08-2014	20-21	39.09
07-08-2014	21-22	38.3
07-08-2014	22-23	37.19
07-08-2014	23-00	34.19
08-08-2014	00-01	32.9
08-08-2014	01-02	32.47
08-08-2014	02-03	31.93
08-08-2014	03-04	31.75
08-08-2014	04-05	31.5
08-08-2014	05-06	34.61
08-08-2014	06-07	43.78
08-08-2014	07-08	50.92
08-08-2014	08-09	60.06
08-08-2014	09-10	70.01
08-08-2014	10-11	68.27
08-08-2014	11-12	68.31
08-08-2014	12-13	57.01
08-08-2014	13-14	53.16
08-08-2014	14-15	42.96
08-08-2014	15-16	41.72
08-08-2014	16-17	39.1
08-08-2014	17-18	41.58
08-08-2014	18-19	41.24
08-08-2014	19-20	41.07
08-08-2014	20-21	38.18
08-08-2014	21-22	39.24
08-08-2014	22-23	36.01
08-08-2014	23-00	34.69
09-08-2014	00-01	33.18
09-08-2014	01-02	31.4
09-08-2014	02-03	30.86
09-08-2014	03-04	30.14
